id,squad,played90s,avgpossession,goalsx90,assistsx90,expgoalsx90,diffgoalx90
1,Belgium,3,57,0.33,0.33,1.57,-1.24
2,Croatia,7.7,54.3,1.04,1.04,0.91,0.13
3,Denmark,3,60,0.33,0.33,0.9,-0.57
4,England,5,62.8,2.6,2.2,1.72,0.88
5,France,7.3,51.3,2.18,1.64,1.88,0.3
6,Germany,3,59.3,2,1.67,3.35,-1.35
7,Netherlands,5.3,53,1.87,1.5,0.86,1.01
8,Portugal,5,60.4,2.4,2,1.57,0.83
9,Serbia,3,51.3,1.67,1.33,1.12,0.55
10,Spain,4.3,75.8,2.08,1.15,1.42,0.66
11,Switzerland,4,49,1.25,1,1.37,-0.12
