id,squad,played90s,avgpossession,goalsx90,assistsx90,expgoalsx90,diffgoalx90
1,Belgium,7,52.9,2.14,1.71,1.9,0.24
2,Croatia,8,56.7,1.62,1,1.4,0.22
3,Denmark,4.3,43,0.69,0.69,0.68,0.01
4,England,7.7,54.1,1.57,0.78,1.46,0.11
5,France,7,48.3,1.71,0.86,1.3,0.41
6,Germany,3,71.7,0.67,0.67,1.85,-1.18
7,Poland,3,50.7,0.67,0.67,1.12,-0.45
8,Portugal,4,54.8,1.5,1,1.21,0.29
9,Serbia,3,42.7,0.67,0.33,1.07,-0.4
10,Spain,4.3,74,1.38,0.69,1.89,-0.51
11,Switzerland,4,59.3,1.25,1,1.27,-0.02
